refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
FAKLIO,N#CC(c1ccc(cc1)C(C#N)C#N)C#N,Mn,7.2406,2.96276,7.1588
FAKLOU,N#CC(c1ccc(cc1)C(C#N)C#N)C#N,Cd,7.86274,3.15702,7.85888
FAKLUA,N#CC(c1ccc(cc1)C(C#N)C#N)C#N,Zn,8.03276,3.35934,6.70967
FALDEC,N/C(=N\N=C(\c1ccccn1)/N)/c1ccccn1,Cd,1.89605,1.09818,1.67511
FAMHAE,OC(=O)[C@H]1SC[C@H](N1)C(=O)O,Co,2.30852,2.1128,2.30852
FANCIJ,OC(=O)[C@@H]1C=CN(C=C1)Cc1c(C)c(CN2C=C[C@H](C=C2)C(=O)O)c(c(c1C)CN1C=C[C@H](C=C1)C(=O)O)C,Yb,6.45474,5.87002,6.43256
FANDEG,OC(=O)[C@@H]1C=CN(C=C1)Cc1c(C)c(CN2C=C[C@H](C=C2)C(=O)O)c(c(c1C)CN1C=C[C@H](C=C1)C(=O)O)C,Gd,6.66926,5.65996,6.6688
FAPYEA,N#CNc1cc(C)c(cc1C)NC#N,Cu,2.51121,2.44931,2.51121
FAQFEK,Cl[C@@H]1C(=O)C(=O)[C@H](C(=O)C1=O)Cl,Li,1.90083,1.58631,1.90083
FARBIL,OC(=O)c1cc(C)c(cc1C)C(=O)O,V,6.5257,5.85477,6.5257
FAYXAF,OC(=O)C[C@H](C(=O)O)O,Co,2.74658,1.87416,2.74658
FAYXEJ,OC(=O)C[C@H](C(=O)O)O,Ni,2.71401,1.8418,2.7052
FECZEU,O=C([C@H]1CC[C@@](C1(C)C)(C)C(=O)O)Nc1cccnc1,Zn,4.16742,1.66146,4.14921
FEDJUU,OC(=O)[C@@H]1C=CN(C=C1)CCCCN1C=C[C@H](C=C1)C(=O)O,Zn,4.41029,3.63395,3.91214
FEFWIZ,OC(=O)c1ccc(s1)C(=O)O,Eu,2.69385,0.93815,2.69045
FEFWUL,OC(=O)c1ccc(s1)C(=O)O,Gd,2.72441,0.84685,2.72253
FEFXEW,OC(=O)c1ccc(s1)C(=O)O,Sm,2.78099,1.00136,2.77906
FEKBED,N#CNC#N,Cd,9.55207,4.57534,9.4641
FEQQUP,OC(=O)[C@H](Cc1ccc(cc1)O)N,Co,1.90856,0.93616,1.90856
FEQREA,OC(=O)[C@H](Cc1ccc(cc1)O)N,Zn,1.93718,0.9552,1.93718
FEZTEL,OC(=O)c1ccc(s1)C(=O)O,Ca,1.34457,0.81365,1.15382
FIFPES,n1ncn(c1)n1cnnc1,Zn,5.17939,2.96813,5.17939
FIJBUV,O=C1C(=O)C(=O)C1=O,Ag,1.26029,0.51661,0.85507
FIJFAG,OC(=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)C(=O)O)C(=O)O)C(=O)O,Zn,1.91206,1.08325,1.90758
FIJYAZ,OC(=O)CCC(=O)O,Pr,2.97708,1.65095,2.97708
FIKQIB,O=P(c1ccccc1)(c1ccccc1)CCP(=O)(c1ccccc1)c1ccccc1,Pb,2.31893,1.41514,2.2318
FIQZIP,OC(=O)CCC(=O)O,Tb,2.87699,1.57643,2.86664
FIQZOV,OC(=O)CCC(=O)O,Gd,1.69772,1.27366,1.6951
FIRGIW,OC(=O)C[C@@H](C(=O)O)N,Zn,1.82343,1.0798,1.72845
FIRZAJ,O[C@H]([C@H](C(=O)O)O)C(=O)O,Mn,3.24021,1.09636,3.24021
FITFEW,NCC(=O)NCC(=O)N[C@H](C(=O)O)C[C@@H]1C=NC=N1,Zn,5.08877,4.02347,5.07084
FITGUL,[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],Sc,3.21069,2.16654,3.21069
FITMAW,OC(=O)CN(NC(=O)N)CC(=O)O,Pb,2.11406,1.16819,2.09239
FITZOX,O1CCOCC1,Na,4.78203,1.70041,4.78203
FIVJAW,c1ccncn1,Cu,1.62998,0.95329,1.62998
FIWJIG,CC(C[C@@H](C(=O)O)NCc1ccc(cc1)CN[C@H](C(=O)O)CC(C)C)C,Cu,6.45458,3.10601,6.44878
FIXVEQ,OC(=O)c1ccc(o1)C(=O)O,Ce,4.76026,3.66114,4.73689
FIXVIU,OC(=O)c1ccc(o1)C(=O)O,Nd,5.57759,4.31726,5.56118
FIXYET,OC(=O)c1ccc(o1)C(=O)O,Pr,4.67546,3.50826,4.66226
FIXYIX,OC(=O)c1ccc(o1)C(=O)O,Eu,4.66438,3.68176,4.65726
FOBYAX,OS(c1cccc2c1cccc2S(O)(O)O)(O)O,Ba,1.81553,1.05565,1.76143
FOHCAH,OC(=O)COc1ccc(cc1)OCC(=O)O,Mg,2.13298,1.19736,2.11393
FORWUF,OC(=O)[C@@H]1CC[C@H](CC1)C(=O)O,Fe,2.36156,1.43782,2.35213
FOSRIP,Nc1ccc(cc1)NNc1ccc(cc1)S(O)(O)O,Ag,2.08586,1.36471,1.85187
FOTPEJ,Fc1ccc(cc1)S,Cd,2.91448,1.63162,2.91448
FOVPAJ,O=C(c1cc(cc(c1)C(=O)NCCc1ccccn1)C(=O)NCCc1ccccn1)NCCc1ccccn1,Ag,2.91599,1.40004,2.02432
FUCTAY,c1ccc2c(c1)nccn2,Cu,4.32828,1.20948,4.10481
FUQREQ,OC(=O)/C=C/C(=O)O,Nd,2.70474,1.16742,2.70474
FUQRIU,OC(=O)/C=C/C(=O)O,Sm,2.72383,1.14206,2.72383
FUVDEH,OC(=O)c1ccc(cc1)n1cnc2c1cc1ccccc1c2,Zn,8.19393,7.856,8.19393
FUWXOL,[nH]1nnc(n1)C1=NC=N[C@@H]1c1[nH]nnn1,Zn,4.7749,4.42015,4.75646
FUXCOS,N#Cc1ccc(s1)c1ccc(s1)c1ccc(s1)C#N,Ag,4.8198,4.16045,4.8198
FUYCOT,OC(=O)c1ccc(cc1)C(=O)O,Zn,13.28546,7.41782,13.12394
GACTIQ,OS(c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)S(O)(O)O)(O)O,Na,1.7389,1.08466,1.7389
GAFORM11,OC=O,Gd,0.84889,0.57004,0.84598
GAFRAI,OC(=O)COCC(=O)O,Pb,2.80229,1.051,2.04584
GAFXIV,OC(=O)CCC(=O)O,Y,2.90622,1.59383,2.90622
GAGQAI,n1nnc([nH]1)c1cc(cc(c1)c1n[nH]nn1)c1nnn[nH]1,Fe,15.22387,2.92894,15.22387
GAHKIJ10,N#C/N=C(/C(=C)C)\C=C,Cu,2.11179,2.01924,2.11179
GAJZEY,OC(=O)C1CCN(CC1)CP(=O)(O)O,Nd,4.26966,3.31829,4.26094
GAJZIC,OC(=O)C1CCN(CC1)CP(=O)(O)O,Sm,4.25016,3.28487,4.21872
GAKSOB,OS(c1cccc2c1cccc2S(O)(O)O)(O)O,Ag,1.39836,0.73047,1.39836
GAMFAE,O=c1c2ccc3c4c2c(c(=O)n1c1c(C)n[nH]c1C)ccc4c(=O)n(c3=O)c1c(C)n[nH]c1C,Cu,7.56967,4.20884,7.56967
GAMTEU,OC(=O)Cc1cc(CC(=O)O)cc(c1)CC(=O)O,Ce,4.52625,2.67576,4.43638
GANGEJ02,[C]/C(=C(/C(=O)O)\[C])/C(=O)O,Eu,2.69084,1.01556,2.1391
GAQYIH,C1N2CN3CN1CN(C2)C3,Cd,16.8907,8.08624,16.8907
GAWMOI,O[C@H]([C@H](C(=O)O)O)[C@H]([C@@H](C(=O)O)O)O,Tb,3.94752,2.62342,3.92757
GEKQUI,O=N(=O)C1=C[C@@H](C(=O)C=C1)N(=O)=O,K,1.96166,0.9204,1.95613
GELDUZ,OC(=O)[C@@H](P(=O)(O)O)O,Zn,4.93641,4.56441,4.91695
GELPES,N#Cc1ccccc1,Cu,2.06613,1.13605,1.96596
GENGEL,OC(=O)CCCC(=O)O,K,2.0293,1.08051,2.00715
GETTIJ,OC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,Ca,2.68877,1.39488,2.67634
GEVKID,OC(=O)[C@@H]1CC[C@H](CC1)C(=O)O,Cd,2.75441,1.32477,2.49303
GEWWIQ,NCCCN1CCN(CC1)CCCN,Cd,2.21368,1.17996,2.21212
GIDKOU,OC(=O)C1=NC=N[C@@H]1C(=O)O,Zn,2.38703,1.24966,2.34567
